"","sample.id","group","Location","Longitude","Latitude","population.density","CO","MAP","MAT","Aridity.index","NO2","O3","PM2.5","PM10","SO2","pH","HDI","Per.capita.GDP"
"471","XAN1","Forest","Xian",109.21,34.36,1345.99,0.88,639,12.9,0.5,38.1,82.63,67.73,126.26,10.5,8.25,0.620615913,4388.553434
"477","XAU2","Urban","Xian",108.96,34.22,12691.09,0.86,625,13.8,0.49,47.6,78.77,70.24,134.57,9.1,8.56,0.620615913,4388.553434
"483","XNA3","Cropland","Xining",101.22,36.51,9.79,0.6,481,-0.4,0.47,16.88,96,35.55,82.19,12.32,8.16,0.569716496,4157.615878
"488","XNI3","Industry","Xining",101.52,36.54,684.99,0.79,430,3.89,0.36,26.64,90.3,42.82,95.68,12.32,7.89,0.569716496,4157.615878
"491","XNN1","Forest","Xining",101.37,36.7,13.53,0.64,458,2.31,0.4,18.3,95.34,37.24,83.96,11.8,7.79,0.569716496,4157.615878
"497","XNU2","Urban","Xining",101.77,36.62,14427.25,1.18,384,6.51,0.3,40.12,83.21,50.44,113.05,19.68,8.08,0.569716496,4157.615878
"504","YCA4","Cropland","Yinchuan",106.1,38.58,71.16,0.81,187,8.55,0.12,30.56,92.13,46.03,110.43,18.02,8.43,0.6018635,4927.352915
"507","YCI2","Industry","Yinchuan",106.55,38.23,36.89,0.78,218,8.75,0.14,33.64,97.83,43.36,106.34,20.9,8.55,0.6018635,4927.352915
"513","YCN3","Forest","Yinchuan",105.92,38.74,3.87,0.62,246,3.82,0.18,18.88,92.13,37.42,97.28,13.22,7.99,0.6018635,4927.352915
"517","YCU2","Urban","Yinchuan",106.24,38.48,6841.86,0.88,188,8.98,0.12,37.52,88.49,48.71,110.44,15.26,8.56,0.6018635,4927.352915
"525","ZZA5","Cropland","Zhengzhou",113.31,34.73,339.39,0.86,611,13.85,0.44,29.46,96.94,75.19,131.18,10.5,8.48,0.604542411,4298.030381
"530","ZZI5","Industry","Zhengzhou",112.91,34.69,2198.61,0.87,604,14.67,0.42,32.96,95.34,77.14,133.5,10.48,8.02,0.604542411,4298.030381
"534","ZZN4","Forest","Zhengzhou",113.27,34.63,62.74,0.85,633,13.48,0.46,26.94,94.2,71.19,124.06,9.8,7.75,0.604542411,4298.030381
"540","ZZU5","Urban","Zhengzhou",113.67,34.75,25735.64,0.86,642,14.88,0.44,39.08,87.97,79.54,143.88,9.96,7.87,0.604542411,4298.030381
